id,idx
4993,0
5952,1
7153,2
62,3
70,4
266,5
480,6
541,7
589,8
924,9
1196,10
1210,11
1214,12
1249,13
1259,14
1270,15
1356,16
1748,17
3450,18
175,19
223,20
260,21
316,22
318,23
329,24
457,25
593,26
858,27
904,28
953,29
1060,30
1073,31
1084,32
1089,33
1097,34
1197,35
1198,36
1206,37
1208,38
1213,39
1220,40
1221,41
1222,42
1230,43
1242,44
1247,45
1257,46
1258,47
1261,48
1266,49
1276,50
1304,51
1374,52
1375,53
1676,54
1909,55
2076,56
2117,57
2288,58
2391,59
2448,60
2571,61
2628,62
2710,63
2788,64
2791,65
2872,66
2918,67
2968,68
2985,69
3039,70
5060,71
11,72
141,73
150,74
364,75
368,76
377,77
380,78
440,79
454,80
500,81
508,82
531,83
588,84
590,85
594,86
671,87
720,88
736,89
780,90
832,91
1028,92
1035,93
1036,94
1079,95
1080,96
1136,97
1393,98
1,99
7,100
17,101
52,102
587,103
750,104
912,105
1077,106
1256,107
1721,108
2028,109
2762,110
3417,111
3479,112
3578,113
4306,114
4963,115
47,116
110,117
288,118
296,119
349,120
356,121
434,122
527,123
597,124
648,125
2959,126
1387,127
32,128
172,129
256,130
546,131
551,132
968,133
1200,134
1225,135
1240,136
1339,137
1580,138
1917,139
2011,140
2140,141
2291,142
2716,143
2793,144
2858,145
2916,146
3000,147
3114,148
3753,149
3793,150
3969,151
4226,152
4235,153
4571,154
4878,155
4887,156
4896,157
5349,158
5377,159
5669,160
5816,161
5882,162
5903,163
5971,164
6250,165
6333,166
6365,167
6377,168
6502,169
6539,170
7361,171
7481,172
8169,173
8965,174
27441,175
27608,176
30707,177
30793,178
31184,179
31429,180
31555,181
31658,182
33085,183
33493,184
33585,185
35836,186
43556,187
44731,188
45361,189
45499,190
51662,191
56174,192
56801,193
57949,194
58652,195
59315,196
59418,197
60037,198
60069,199
60684,200
64497,201
64997,202
72641,203
161,204
253,205
292,206
553,207
471,208
529,209
1148,210
1207,211
1396,212
2394,213
4995,214
6424,215
6753,216
44709,217
45431,218
51471,219
52287,220
916,221
1265,222
1380,223
1500,224
3868,225
2683,226
3101,227
4973,228
5225,229
6197,230
44555,231
60482,232
6,233
86,234
112,235
608,236
656,237
16,238
50,239
1193,240
1201,241
1228,242
1617,243
1673,244
1997,245
2160,246
1047,247
2353,248
3527,249
4270,250
293,251
535,252
555,253
1095,254
1358,255
1527,256
1584,257
1704,258
1754,259
1833,260
1835,261
2058,262
2294,263
25,264
104,265
785,266
1233,267
1343,268
1357,269
1407,270
1517,271
1573,272
1610,273
1639,274
1653,275
1680,276
1921,277
2329,278
2502,279
2694,280
2706,281
3052,282
3300,283
3510,284
3617,285
3950,286
3979,287
3996,288
4149,289
4387,290
4718,291
4776,292
5630,293
5679,294
357,295
1307,296
2761,297
410,298
216,299
249,300
431,301
596,302
733,303
2324,304
3671,305
5378,306
5444,307
8368,308
8985,309
36519,310
44191,311
54259,312
58559,313
61160,314
65682,315
76093,316
78105,317
81834,318
83613,319
88125,320
91529,321
106489,322
118696,323
778,324
1215,325
2115,326
3836,327
10,328
208,329
239,330
367,331
539,332
595,333
708,334
111,335
2360,336
2542,337
2692,338
2997,339
3396,340
3535,341
4011,342
4979,343
5418,344
5445,345
6016,346
6773,347
6874,348
6942,349
8360,350
8665,351
8961,352
27005,353
27773,354
27797,355
32587,356
41863,357
45722,358
53125,359
54286,360
207,361
225,362
315,363
350,364
786,365
36,366
246,367
1211,368
1354,369
1625,370
58,371
969,372
1101,373
1231,374
1234,375
1272,376
1537,377
2969,378
3098,379
745,380
1372,381
261,382
2396,383
2572,384
4014,385
6711,386
1172,387
4534,388
4790,389
21,390
45,391
235,392
300,393
514,394
538,395
800,396
1094,397
1183,398
7502,399
215,400
1884,401
3949,402
5618,403
7438,404
36529,405
48394,406
231,407
344,408
1923,409
1961,410
2268,411
2371,412
2423,413
124,414
162,415
213,416
342,417
345,418
472,419
488,420
583,421
705,422
850,423
913,424
923,425
994,426
1041,427
1050,428
1096,429
1175,430
1189,431
1203,432
1217,433
1219,434
1244,435
1271,436
1273,437
1299,438
1300,439
1333,440
1394,441
1511,442
1533,443
1635,444
1649,445
1747,446
1846,447
1945,448
1953,449
2931,450
2943,451
165,452
592,453
1124,454
1286,455
1288,456
1291,457
1302,458
1952,459
1954,460
1955,461
2455,462
2524,463
2640,464
2641,465
2804,466
2871,467
2987,468
3037,469
3361,470
3469,471
3952,472
3959,473
1287,474
2947,475
125,476
1263,477
1944,478
4041,479
4043,480
6947,481
34,482
151,483
230,484
272,485
474,486
512,487
802,488
903,489
908,490
920,491
922,492
950,493
965,494
1086,495
1090,496
1092,497
1179,498
1212,499
1252,500
1264,501
1267,502
1278,503
1296,504
1329,505
1345,506
1597,507
1603,508
1674,509
1784,510
2019,511
2184,512
2186,513
2289,514
2366,515
2648,516
2671,517
2900,518
2917,519
2973,520
3018,521
3147,522
3203,523
3249,524
3252,525
3435,526
3468,527
3476,528
3676,529
3683,530
3706,531
4027,532
4083,533
4318,534
4327,535
4339,536
4361,537
4496,538
4670,539
4803,540
4811,541
4838,542
4855,543
4932,544
5010,545
6218,546
7090,547
33794,548
26760,549
33358,550
40815,551
40870,552
55247,553
91500,554
39,555
441,556
2395,557
4246,558
8663,559
55269,560
218,561
1285,562
2908,563
87192,564
1204,565
1224,566
153,567
185,568
1235,569
3083,570
46578,571
63082,572
1223,573
1275,574
1301,575
337,576
1856,577
3989,578
4022,579
5989,580
79132,581
106766,582
111622,583
1081,584
1132,585
2302,586
55,587
1293,588
1956,589
2352,590
2359,591
2501,592
3112,593
3363,594
910,595
1185,596
2313,597
3105,598
3210,599
3418,600
3421,601
1274,602
1129,603
1199,604
2193,605
3241,606
3967,607
1250,608
1262,609
1586,610
2815,611
3717,612
2010,613
2194,614
2427,615
37733,616
53883,617
78499,618
79677,619
86898,620
89118,621
2248,622
899,623
911,624
945,625
1283,626
3034,627
92259,628
715,629
1127,630
2023,631
2686,632
2707,633
3948,634
4167,635
41,636
73,637
370,638
44761,639
3897,640
741,641
7099,642
69844,643
1449,644
163,645
1682,646
199,647
334,648
914,649
938,650
1104,651
1251,652
1254,653
1957,654
1960,655
2745,656
2932,657
3022,658
66,659
719,660
1968,661
2012,662
2153,663
89745,664
102903,665
265,666
1032,667
1246,668
1280,669
1678,670
3160,671
4857,672
954,673
2797,674
3178,675
8533,676
673,677
852,678
866,679
990,680
1004,681
1042,682
1476,683
26,684
94,685
99,686
613,687
797,688
805,689
1061,690
1105,691
30749,692
34323,693
494,694
647,695
1432,696
678,697
919,698
2132,699
2300,700
2599,701
2689,702
353,703
1466,704
4209,705
4355,706
5292,707
6188,708
34405,709
49272,710
54503,711
62434,712
69640,713
75813,714
78209,715
306,716
307,717
308,718
446,719
497,720
509,721
515,722
534,723
1446,724
468,725
1391,726
1641,727
1876,728
1912,729
1962,730
3176,731
3481,732
4886,733
6300,734
8636,735
6323,736
38061,737
48780,738
95,739
140,740
168,741
317,742
1663,743
6329,744
69757,745
80463,746
475,747
1408,748
1479,749
247,750
562,751
1034,752
1243,753
1245,754
2657,755
3397,756
3911,757
4103,758
6807,759
7096,760
7147,761
5995,762
8464,763
8784,764
27846,765
65188,766
1361,767
1982,768
2064,769
2700,770
1282,771
2087,772
3387,773
5970,774
68954,775
86347,776
86377,777
95167,778
99114,779
112852,780
1088,781
1566,782
1907,783
2003,784
2081,785
2739,786
2795,787
2890,788
3071,789
3408,790
3471,791
3751,792
4034,793
4090,794
4239,795
4308,796
4720,797
4865,798
4866,799
2826,800
4018,801
4155,802
4699,803
5299,804
762,805
4069,806
4299,807
170,808
178,809
549,810
1000,811
1297,812
1440,813
1475,814
1732,815
2249,816
2301,817
277,818
1059,819
898,820
915,821
1057,822
1171,823
1188,824
1701,825
3067,826
3072,827
1248,828
1284,829
2940,830
2150,831
289,832
339,833
1569,834
2006,835
